Date,Opponent,Home Score,Away Score
"Aug 17, 2024",Wolverhampton Wanderers,2,0
"Aug 24, 2024",Aston Villa,0,2
"Aug 31, 2024",Brighton,1,1
"Sep 15, 2024",Tottenham,0,1
"Sep 22, 2024",Manchester City,2,2
"Sep 28, 2024",Leicester,4,2
"Oct 05, 2024",Southampton,3,1
"Oct 19, 2024",Bournemouth,2,0
"Oct 27, 2024",Liverpool,2,2
"Nov 02, 2024",Newcastle United,1,0
"Nov 10, 2024",Chelsea,1,1
"Nov 23, 2024",Nottingham Forest,3,0
"Nov 30, 2024",West Ham,2,5
"Dec 05, 2024",Manchester United,2,0
"Dec 08, 2024",Fulham,1,1
"Dec 14, 2024",Everton,0,0
"Dec 21, 2024",Crystal Palace,1,5
"Dec 28, 2024",Ipswich,1,0
"Jan 01, 2025",Brentford,1,3
"Jan 04, 2025",Brighton,1,1
