№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Kai Havertz,F,11,990,4,1,2.55,0.82,5.93+1.93,1.15+0.15,0.54,0.10
2,Bukayo Saka,F M,11,936,4,8,3.56,3.08,3.57-0.43,7.20-0.80,0.34,0.69
3,Gabriel Martinelli,F M,11,699,3,2,1.80,1.55,3.07+0.07,2.07+0.07,0.40,0.27
4,Thomas Partey,D M,12,1023,2,0,0.79,0.62,0.45-1.55,0.45+0.45,0.04,0.04
5,Gabriel,D,12,1048,2,0,1.12,0.34,2.57+0.57,0.44+0.44,0.22,0.04
6,Leandro Trossard,F M,12,681,2,0,2.25,1.59,2.86+0.86,1.26+1.26,0.38,0.17
7,Mikel Merino,M,6,371,1,0,1.70,0.73,1.11+0.11,0.38+0.38,0.27,0.09
8,Riccardo Calafiori,D,7,456,1,0,0.79,0.39,0.55-0.45,0.08+0.08,0.11,0.02
9,Ethan Nwaneri,S,6,38,1,0,9.47,4.74,0.26-0.74,0.14+0.14,0.61,0.34
10,Raheem Sterling,M,5,121,0,1,1.49,1.49,0.24+0.24,0.18-0.82,0.18,0.13
11,Jorginho,M,4,206,0,0,0.44,0.87,0.04+0.04,0.17+0.17,0.02,0.07
12,Martin Odegaard,M,5,435,0,2,1.45,3.10,1.12+1.12,1.67-0.33,0.23,0.34
13,Oleksandr Zinchenko,D,4,120,0,0,0.00,0.00,0.00,0.00,0.00,0.00
14,Gabriel Jesus,F,10,194,0,0,3.25,2.32,0.62+0.62,0.40+0.40,0.29,0.19
15,Declan Rice,M,10,843,0,1,1.07,1.49,0.83+0.83,1.87+0.87,0.09,0.20
16,Reiss Nelson,S,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00
17,William Saliba,D,11,929,0,0,0.00,0.19,0.00,0.52+0.52,0.00,0.05
18,Ben White,D,9,681,0,1,0.53,0.40,0.11+0.11,0.41-0.59,0.02,0.05
19,Takehiro Tomiyasu,S,1,3,0,0,30.00,0.00,0.17+0.17,0.00,5.01,0.00
20,David Raya,GK,12,1080,0,0,0.00,0.00,0.00,0.00,0.00,0.00
21,Jakub Kiwior,S,5,90,0,0,0.00,0.00,0.00,0.00,0.00,0.00
22,Jurriën Timber,D,10,794,0,1,0.79,1.36,0.40+0.40,0.88-0.12,0.05,0.10
23,Myles Lewis-Skelly,S,2,11,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,20,17,14.49,11.63,23.89+3.89,19.27+2.27,2.01,1.62
