Date,Opponent,Home Score,Away Score
"Aug 17, 2024",West Ham,1,2
"Aug 24, 2024",Arsenal,0,2
"Aug 31, 2024",Leicester,1,2
"Sep 14, 2024",Everton,3,2
"Sep 21, 2024",Wolverhampton Wanderers,3,1
"Sep 29, 2024",Ipswich,2,2
"Oct 06, 2024",Manchester United,0,0
"Oct 19, 2024",Fulham,1,3
"Oct 26, 2024",Bournemouth,1,1
"Nov 03, 2024",Tottenham,4,1
"Nov 10, 2024",Liverpool,2,0
"Nov 23, 2024",Crystal Palace,2,2
"Dec 01, 2024",Chelsea,3,0
"Dec 05, 2024",Brentford,3,1
"Dec 07, 2024",Southampton,1,0
"Dec 14, 2024",Nottingham Forest,2,1
"Dec 21, 2024",Manchester City,2,1
"Dec 26, 2024",Newcastle United,3,0
"Dec 30, 2024",Brighton,2,2
"Jan 04, 2025",Leicester,2,1
