№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Ollie Watkins,F,12,969,6,2,2.88,0.84,8.40+2.40,1.44-0.56,0.78,0.13
2,Jhon Durán,S,12,251,4,0,5.38,0.72,2.78-1.22,0.12+0.12,1.00,0.04
3,Morgan Rogers,F M,12,1003,3,2,1.88,1.53,3.14+0.14,2.88+0.88,0.28,0.26
4,Ross Barkley,M,9,327,2,1,2.48,1.38,1.13-0.87,0.30-0.70,0.31,0.08
5,Amadou Onana,M,10,743,2,0,1.33,0.36,1.98-0.02,0.12+0.12,0.24,0.01
6,Ezri Konsa Ngoyo,D,10,821,1,0,0.33,0.22,0.47-0.53,0.15+0.15,0.05,0.02
7,Lucas Digne,D,12,900,0,2,0.60,1.40,0.48+0.48,3.99+1.99,0.05,0.40
8,Emiliano Buendía,S,5,11,0,0,8.18,8.18,0.13+0.13,0.05+0.05,1.06,0.38
9,Emiliano Martinez,GK,12,1080,0,0,0.00,0.00,0.00,0.00,0.00,0.00
10,Leon Bailey,M,11,597,0,2,1.51,1.51,0.89+0.89,1.96-0.04,0.13,0.29
11,Diego Carlos,D,7,558,0,0,0.48,0.00,0.91+0.91,0.00,0.15,0.00
12,Boubacar Kamara,S,3,25,0,0,0.00,0.00,0.00,0.00,0.00,0.00
13,Youri Tielemans,M,12,1069,0,4,0.84,2.27,1.20+1.20,3.38-0.62,0.10,0.28
14,Pau Torres,D,12,1080,0,0,0.25,0.08,0.14+0.14,0.02+0.02,0.01,0.00
15,John McGinn,M,10,645,0,1,1.53,0.98,1.24+1.24,1.35+0.35,0.17,0.19
16,Matthew Cash,D,7,470,0,0,0.19,0.38,0.02+0.02,0.48+0.48,0.00,0.09
17,Jacob Ramsey,M,10,649,0,2,1.39,1.11,0.52+0.52,1.39-0.61,0.07,0.19
18,Jaden Philogene-Bidace,M,8,185,0,0,2.43,0.00,0.55+0.55,0.00,0.27,0.00
19,Lamare Bogarde,D,3,222,0,0,0.00,0.41,0.00,0.15+0.15,0.00,0.06
20,Ian Maatsen,D,10,189,0,0,1.43,3.81,0.08+0.08,0.80+0.80,0.04,0.38
21,Kosta Nedeljkovic,S,3,89,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,18,16,12.75,9.75,24.06+6.06,18.56+2.56,2.00,1.55
