Date,Opponent,Home Score,Away Score
"Aug 17, 2024",Nottingham Forest,1,1
"Aug 25, 2024",Newcastle United,1,1
"Aug 31, 2024",Everton,2,3
"Sep 14, 2024",Chelsea,0,1
"Sep 21, 2024",Liverpool,3,0
"Sep 30, 2024",Southampton,3,1
"Oct 05, 2024",Leicester,1,0
"Oct 19, 2024",Arsenal,2,0
"Oct 26, 2024",Aston Villa,1,1
"Nov 02, 2024",Manchester City,2,1
"Nov 09, 2024",Brentford,3,2
"Nov 23, 2024",Brighton,1,2
"Nov 30, 2024",Wolverhampton Wanderers,2,4
"Dec 06, 2024",Tottenham,1,0
"Dec 08, 2024",Ipswich,1,2
"Dec 17, 2024",West Ham,1,1
"Dec 22, 2024",Manchester United,0,3
"Dec 26, 2024",Crystal Palace,0,0
"Dec 29, 2024",Fulham,2,2
"Jan 04, 2025",Everton,1,0
"Jan 14, 2025",Chelsea,2,2
