№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Antoine Semenyo,F M,12,1063,4,1,4.49,1.19,5.48+1.48,2.94+1.94,0.46,0.25
2,Evanilson,F,11,818,4,0,2.64,0.66,5.24+1.24,0.75+0.75,0.58,0.08
3,Justin Kluivert,M,12,707,2,2,2.55,1.65,2.31+0.31,1.35-0.65,0.29,0.17
4,Lewis Cook,M,12,1080,1,3,0.67,1.67,0.74-0.26,2.49-0.51,0.06,0.21
5,David Brooks,S,5,45,1,0,6.00,4.00,0.35-0.65,0.20+0.20,0.70,0.39
6,Dango Ouattara,M,9,441,1,1,1.43,1.22,1.77+0.77,1.86+0.86,0.36,0.38
7,Marcus Tavernier,M,12,901,1,2,2.40,2.40,3.23+2.23,2.25+0.25,0.32,0.22
8,Ryan Christie,M,11,711,1,0,0.89,1.52,0.34-0.66,1.12+1.12,0.04,0.14
9,Luis Sinisterra,M,8,200,1,1,5.40,3.15,1.66+0.66,1.24+0.24,0.75,0.56
10,Adam Smith,D,12,693,0,0,0.13,0.39,0.27+0.27,0.15+0.15,0.03,0.02
11,Neto,GK,2,180,0,0,0.00,0.00,0.00,0.00,0.00,0.00
12,Kepa,GK,7,630,0,0,0.00,0.14,0.00,0.03+0.03,0.00,0.00
13,Philip Billing,S,2,15,0,0,0.00,0.00,0.00,0.00,0.00,0.00
14,Enes Ünal,F,9,141,0,1,5.11,1.91,0.73+0.73,0.42-0.58,0.47,0.27
15,Tyler Adams,M,4,167,0,0,0.54,1.08,0.02+0.02,0.10+0.10,0.01,0.05
16,Mark Travers,GK,3,270,0,0,0.00,0.00,0.00,0.00,0.00,0.00
17,Max Aarons,S,1,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00
18,Daniel Jebbison,S,2,12,0,0,0.00,7.50,0.00,0.02+0.02,0.00,0.16
19,Marcos Senesi,D,10,847,0,0,0.11,0.43,0.61+0.61,0.20+0.20,0.06,0.02
20,Illia Zabarnyi,D,12,1080,0,0,0.17,0.25,0.40+0.40,0.10+0.10,0.03,0.01
21,Milos Kerkez,D,12,1024,0,2,0.62,1.05,0.21+0.21,1.65-0.35,0.02,0.14
22,Julián Araujo,D,8,353,0,0,0.00,0.00,0.00,0.00,0.00,0.00
23,Dean Huijsen,D,6,234,0,0,1.15,1.54,0.21+0.21,0.11+0.11,0.08,0.04
24,Alex Scott,M,8,261,0,0,1.03,1.72,0.08+0.08,0.24+0.24,0.03,0.08
,,,,,16,13,15.33,11.83,23.65+7.65,17.20+4.20,1.97,1.43
