Date,Opponent,Home Score,Away Score
"Aug 18, 2024",Crystal Palace,2,1
"Aug 25, 2024",Liverpool,2,0
"Aug 31, 2024",Southampton,3,1
"Sep 14, 2024",Manchester City,2,1
"Sep 21, 2024",Tottenham,3,1
"Sep 28, 2024",West Ham,1,1
"Oct 05, 2024",Wolverhampton Wanderers,5,3
"Oct 19, 2024",Manchester United,2,1
"Oct 26, 2024",Ipswich,4,3
"Nov 05, 2024",Fulham,2,1
"Nov 09, 2024",Bournemouth,3,2
"Nov 23, 2024",Everton,0,0
"Nov 30, 2024",Leicester,4,1
"Dec 05, 2024",Aston Villa,3,1
"Dec 07, 2024",Newcastle United,4,2
"Dec 15, 2024",Chelsea,2,1
"Dec 21, 2024",Nottingham Forest,0,2
"Dec 27, 2024",Brighton,0,0
"Jan 01, 2025",Arsenal,1,3
"Jan 04, 2025",Southampton,0,5
