№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Bryan Mbeumo,D F M,21,1889,13,3,1.81,2.00,6.83-6.17,6.38+3.38,0.33,0.30
2,Yoane Wissa,F M,18,1413,10,2,2.68,0.76,10.87+0.87,1.35-0.65,0.69,0.09
3,Kevin Schade,F M,21,969,5,2,2.14,0.65,4.21-0.79,1.66-0.34,0.39,0.15
4,Christian Nørgaard,M,18,1510,2,2,1.13,0.54,2.58+0.58,0.67-1.33,0.15,0.04
5,Mikkel Damsgaard,F M,21,1571,2,6,1.15,1.83,2.61+0.61,5.42-0.58,0.15,0.31
6,Ethan Pinnock,D,16,1440,2,0,0.56,0.50,0.81-1.19,1.51+1.51,0.05,0.09
7,Nathan Collins,D,21,1890,2,1,0.57,0.19,2.11+0.11,0.94-0.06,0.10,0.04
8,Fabio Carvalho,F M,16,380,1,1,2.37,0.71,2.11+1.11,0.58-0.42,0.50,0.14
9,Vitaly Janelt,D M,20,1527,1,3,0.71,0.65,0.49-0.51,2.17-0.83,0.03,0.13
10,Keane Lewis-Potter,D M,21,1670,1,2,0.97,0.70,2.38+1.38,1.66-0.34,0.13,0.09
11,Ben Mee,D,5,176,0,0,0.00,0.00,0.00,0.00,0.00,0.00
12,Mark Flekken,GK,21,1835,0,1,0.00,0.05,0.00,0.32-0.68,0.00,0.02
13,Mathias Jensen,M,11,631,0,1,0.71,1.85,0.26+0.26,1.47+0.47,0.04,0.21
14,Kristoffer Ajer,D,10,729,0,0,0.37,0.49,0.80+0.80,0.82+0.82,0.10,0.10
15,Rico Henry,S,1,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00
16,Frank Onyeka,S,2,18,0,0,0.00,0.00,0.00,0.00,0.00,0.00
17,Mads Roerslev,D,17,899,0,2,0.40,1.20,0.20+0.20,2.11+0.11,0.02,0.21
18,Paris Maghoma,S,5,63,0,0,0.00,0.00,0.00,0.00,0.00,0.00
19,Sepp van den Berg,D,17,1441,0,0,0.56,0.25,0.73+0.73,0.17+0.17,0.05,0.01
20,Ryan Trevitt,S,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00
21,Yehor Yarmolyuk,M,16,489,0,0,1.10,0.74,0.62+0.62,0.15+0.15,0.11,0.03
22,Kim Ji-Soo,S,2,18,0,0,0.00,0.00,0.00,0.00,0.00,0.00
23,Hákon Valdimarsson,S,1,55,0,0,0.00,0.00,0.00,0.00,0.00,0.00
24,Yunus Konak,S,5,14,0,0,6.43,0.00,0.11+0.11,0.00,0.70,0.00
25,Jayden Meghoma,S,1,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00
26,Thiago,F,4,119,0,0,0.76,1.51,0.09+0.09,0.11+0.11,0.07,0.09
,,,,,39,26,11.07,8.63,37.81-1.19,27.50+1.50,1.80,1.31
