Date,Opponent,Home Score,Away Score
"Aug 17, 2024",Everton,0,3
"Aug 24, 2024",Manchester United,2,1
"Aug 31, 2024",Arsenal,1,1
"Sep 14, 2024",Ipswich,0,0
"Sep 22, 2024",Nottingham Forest,2,2
"Sep 28, 2024",Chelsea,4,2
"Oct 06, 2024",Tottenham,3,2
"Oct 19, 2024",Newcastle United,0,1
"Oct 26, 2024",Wolverhampton Wanderers,2,2
"Nov 02, 2024",Liverpool,2,1
"Nov 09, 2024",Manchester City,2,1
"Nov 23, 2024",Bournemouth,1,2
"Nov 30, 2024",Southampton,1,1
"Dec 05, 2024",Fulham,3,1
"Dec 08, 2024",Leicester,2,2
"Dec 15, 2024",Crystal Palace,1,3
"Dec 21, 2024",West Ham,1,1
"Dec 27, 2024",Brentford,0,0
"Dec 30, 2024",Aston Villa,2,2
"Jan 04, 2025",Arsenal,1,1
