№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Danny Welbeck,F,14,1145,6,2,2.75,0.94,5.99-0.01,0.72-1.28,0.47,0.06
2,João Pedro,F M,14,1053,5,5,2.05,1.45,3.86-1.14,2.71-2.29,0.33,0.23
3,Kaoru Mitoma,F M,20,1582,3,2,1.93,1.59,5.38+2.38,3.92+1.92,0.31,0.22
4,Georginio Rutter,F M,19,1101,2,2,2.94,0.82,3.17+1.17,1.50-0.50,0.26,0.12
5,Tariq Lamptey,D,7,346,2,2,0.78,0.78,0.16-1.84,0.50-1.50,0.04,0.13
6,Carlos Baleba,M,17,1278,2,1,1.69,0.77,1.00-1.00,0.66-0.34,0.07,0.05
7,Simon Adingra,D M,14,485,2,1,2.23,1.11,1.74-0.26,0.76-0.24,0.32,0.14
8,Yankuba Minteh,M,15,604,2,1,1.64,1.64,1.46-0.54,1.43+0.43,0.22,0.21
9,Evan Ferguson,F,12,186,1,0,3.39,1.45,0.66-0.34,0.63+0.63,0.32,0.31
10,Jack Hinshelwood,D M,10,850,1,0,0.74,0.64,0.84-0.16,0.18+0.18,0.09,0.02
11,Mats Wieffer,M,13,455,1,1,0.99,0.79,0.69-0.31,0.23-0.77,0.14,0.05
12,Ferdi Kadioglu,D M,6,401,1,0,0.90,1.12,0.60-0.40,0.16+0.16,0.14,0.04
13,Matt O'Riley,M,8,347,1,0,3.11,2.07,1.16+0.16,1.03+1.03,0.30,0.27
14,James Milner,M,3,176,0,0,1.02,2.05,0.19+0.19,0.26+0.26,0.10,0.13
15,Estupiñán,D,16,1239,0,1,0.94,1.38,0.68+0.68,1.93+0.93,0.05,0.14
16,Lewis Dunk,D,15,1264,0,0,0.71,0.36,0.99+0.99,0.52+0.52,0.07,0.04
17,Solly March,S,1,1,0,0,90.00,0.00,0.04+0.04,0.00,3.53,0.00
18,Jason Steele,GK,2,180,0,0,0.00,0.00,0.00,0.00,0.00,0.00
19,Adam Webster,D,4,103,0,0,0.87,0.00,0.01+0.01,0.00,0.01,0.00
20,Igor Julio,D,12,898,0,0,0.10,0.10,0.08+0.08,0.12+0.12,0.01,0.01
21,Billy Gilmour,M,2,94,0,0,0.96,0.00,0.08+0.08,0.00,0.08,0.00
22,Joël Veltman,D,14,1216,0,0,0.22,0.30,0.13+0.13,0.66+0.66,0.01,0.05
23,Jakub Moder,S,3,3,0,0,0.00,90.00,0.00,0.20+0.20,0.00,6.11
24,Jeremy Sarmiento,S,1,4,0,0,0.00,0.00,0.00,0.00,0.00,0.00
25,Jan Paul van Hecke,D,18,1522,0,1,0.53,0.53,0.45+0.45,0.90-0.10,0.03,0.05
26,Julio Enciso,M,11,275,0,0,6.55,1.64,0.98+0.98,0.32+0.32,0.32,0.11
27,Brajan Gruda,M,10,330,0,0,0.82,2.45,0.22+0.22,0.46+0.46,0.06,0.12
28,Yasin Ayari,M,17,1029,0,0,1.31,1.40,1.47+1.47,1.39+1.39,0.13,0.12
29,Bart Verbruggen,GK,18,1620,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,29,19,14.66,9.96,32.04+3.04,21.20+2.20,1.60,1.06
