Date,Opponent,Home Score,Away Score
"Aug 18, 2024",Manchester City,0,2
"Aug 25, 2024",Wolverhampton Wanderers,2,6
"Sep 01, 2024",Crystal Palace,1,1
"Sep 14, 2024",Bournemouth,0,1
"Sep 21, 2024",West Ham,0,3
"Sep 28, 2024",Brighton,4,2
"Oct 06, 2024",Nottingham Forest,1,1
"Oct 20, 2024",Liverpool,2,1
"Oct 27, 2024",Newcastle United,2,1
"Nov 03, 2024",Manchester United,1,1
"Nov 10, 2024",Arsenal,1,1
"Nov 23, 2024",Leicester,1,2
"Dec 01, 2024",Aston Villa,3,0
"Dec 04, 2024",Southampton,1,5
"Dec 08, 2024",Tottenham,3,4
"Dec 15, 2024",Brentford,2,1
"Dec 22, 2024",Everton,0,0
"Dec 26, 2024",Fulham,1,2
"Dec 30, 2024",Ipswich,2,0
"Jan 04, 2025",Crystal Palace,1,1
"Jan 14, 2025",Bournemouth,2,2
