№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Cole Palmer,M,12,1056,7,5,3.24,2.73,5.17-1.83,5.92+0.92,0.44,0.50
2,Nicolas Jackson,F,12,1000,7,3,2.52,1.17,7.02+0.02,1.81-1.19,0.63,0.16
3,Noni Madueke,M,11,883,4,0,3.47,1.22,4.43+0.43,0.96+0.96,0.45,0.10
4,Christopher Nkunku,M,11,129,1,0,5.58,2.79,2.17+1.17,0.28+0.28,1.52,0.19
5,Pedro Neto,M,11,525,1,2,2.23,2.40,0.53-0.47,2.13+0.13,0.09,0.36
6,João Félix,M,6,186,1,0,4.84,0.97,0.83-0.17,0.07+0.07,0.40,0.03
7,Moisés Caicedo,M,12,1070,1,2,0.59,0.76,0.33-0.67,1.51-0.49,0.03,0.13
8,Enzo Fernández,M,11,692,1,2,1.04,1.95,1.11+0.11,1.42-0.58,0.14,0.19
9,Tosin Adarabioyo,D,4,180,0,0,0.00,0.50,0.00,0.01+0.01,0.00,0.01
10,Jadon Sancho,M,6,326,0,3,0.28,2.21,0.10+0.10,1.20-1.80,0.03,0.33
11,Axel Disasi,D,2,93,0,0,0.00,0.00,0.00,0.00,0.00,0.00
12,Marc Cucurella,D,11,841,0,0,0.11,0.32,0.02+0.02,0.22+0.22,0.00,0.02
13,Benoit Badiashile Mukinayi,D,2,119,0,0,0.00,0.00,0.00,0.00,0.00,0.00
14,Wesley Fofana,D,11,959,0,0,0.19,0.47,0.18+0.18,0.51+0.51,0.02,0.05
15,Reece James,D,4,246,0,0,0.00,0.00,0.00,0.00,0.00,0.00
16,Malo Gusto,D,9,745,0,0,1.57,0.60,0.98+0.98,0.23+0.23,0.12,0.03
17,Robert Sánchez,GK,12,1080,0,0,0.00,0.00,0.00,0.00,0.00,0.00
18,Kiernan Dewsbury-Hall,S,4,27,0,0,0.00,3.33,0.00,0.11+0.11,0.00,0.37
19,Romeo Lavia,M,7,364,0,1,0.00,1.24,0.00,0.65-0.35,0.00,0.16
20,Levi Colwill,D,12,1080,0,0,0.25,0.25,0.56+0.56,0.62+0.62,0.05,0.05
21,Mykhailo Mudryk,M,7,133,0,0,0.68,1.35,0.12+0.12,1.08+1.08,0.08,0.73
22,Renato Veiga,M,5,136,0,0,1.99,0.00,0.14+0.14,0.00,0.09,0.00
23,Marc Guiu,S,1,17,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,23,18,14.16,11.16,23.69+0.69,18.74+0.74,1.97,1.56
