Date,Opponent,Home Score,Away Score
"Aug 18, 2024",Brentford,2,1
"Aug 24, 2024",West Ham,0,2
"Sep 01, 2024",Chelsea,1,1
"Sep 14, 2024",Leicester,2,2
"Sep 21, 2024",Manchester United,0,0
"Sep 28, 2024",Everton,2,1
"Oct 05, 2024",Liverpool,0,1
"Oct 21, 2024",Nottingham Forest,1,0
"Oct 27, 2024",Tottenham,1,0
"Nov 02, 2024",Wolverhampton Wanderers,2,2
"Nov 09, 2024",Fulham,0,2
"Nov 23, 2024",Aston Villa,2,2
"Nov 30, 2024",Newcastle United,1,1
"Dec 03, 2024",Ipswich,0,1
"Dec 07, 2024",Manchester City,2,2
"Dec 15, 2024",Brighton,1,3
"Dec 21, 2024",Arsenal,1,5
"Dec 26, 2024",Bournemouth,0,0
"Dec 29, 2024",Southampton,2,1
"Jan 04, 2025",Chelsea,1,1
"Jan 15, 2025",Leicester,0,2
