№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Jean-Philippe Mateta,F,21,1613,6,1,2.29,1.06,8.56+2.56,2.06+1.06,0.48,0.11
2,Ismaila Sarr,F M,21,1364,4,3,2.18,1.58,5.39+1.39,5.74+2.74,0.36,0.38
3,Trevoh Chalobah,D,12,1073,3,0,0.92,0.34,1.77-1.23,0.85+0.85,0.15,0.07
4,Marc Guehi,D M,20,1800,3,1,0.50,0.35,2.14-0.86,0.69-0.31,0.11,0.03
5,Eberechi Eze,F M,17,1445,2,4,3.61,1.99,4.82+2.82,3.82-0.18,0.30,0.24
6,Daniel Muñoz,D,20,1720,2,1,1.10,1.31,4.26+2.26,2.75+1.75,0.22,0.14
7,Maxence Lacroix,D,18,1620,1,1,0.78,0.17,1.09+0.09,0.62-0.38,0.06,0.03
8,Justin Devenny,M,9,228,1,0,1.58,1.97,0.65-0.35,0.45+0.45,0.26,0.18
9,Nathaniel Clyne,D,9,397,0,0,0.23,0.45,0.01+0.01,0.08+0.08,0.00,0.02
10,Jordan Ayew,S,1,17,0,0,5.29,5.29,0.51+0.51,0.03+0.03,2.72,0.16
11,Jeffrey Schlupp,S,11,71,0,0,5.07,2.54,0.21+0.21,0.33+0.33,0.27,0.42
12,Jefferson Lerma,D M,17,1105,0,0,1.30,0.41,0.55+0.55,0.80+0.80,0.04,0.07
13,Odsonne Edouard,M,2,112,0,0,4.02,0.80,0.33+0.33,0.02+0.02,0.26,0.02
14,Will Hughes,M,18,1181,0,3,0.91,1.68,0.64+0.64,1.89-1.11,0.05,0.14
15,Daichi Kamada,M,17,773,0,0,1.28,1.51,0.60+0.60,0.86+0.86,0.07,0.10
16,Joachim Andersen,D,1,90,0,0,1.00,0.00,0.03+0.03,0.00,0.03,0.00
17,Eddie Nketiah,F M,15,568,0,1,3.33,1.58,1.45+1.45,1.14+0.14,0.23,0.18
18,Dean Henderson,GK,21,1890,0,0,0.05,0.05,0.01+0.01,0.02+0.02,0.00,0.00
19,Tyrick Mitchell,D,21,1840,0,3,0.34,1.22,0.72+0.72,4.60+1.60,0.04,0.23
20,Chris Richards,D,10,716,0,0,0.25,0.00,0.17+0.17,0.00,0.02,0.00
21,Cheick Oumar Doucoure,M,13,439,0,0,1.44,0.21,0.37+0.37,0.01+0.01,0.07,0.00
22,Chadi Riad,D,1,90,0,0,0.00,0.00,0.00,0.00,0.00,0.00
23,Adam Wharton,M,8,635,0,0,1.28,1.13,0.20+0.20,0.62+0.62,0.03,0.09
24,Asher Agbinone,S,2,2,0,0,45.00,45.00,0.02+0.02,0.02+0.02,0.68,1.07
25,Caleb Kporha,S,2,5,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,22,18,13.85,10.05,34.49+12.49,27.43+9.43,1.64,1.31
