Date,Opponent,Home Score,Away Score
"Aug 17, 2024",Brighton,0,3
"Aug 24, 2024",Tottenham,4,0
"Aug 31, 2024",Bournemouth,2,3
"Sep 14, 2024",Aston Villa,3,2
"Sep 21, 2024",Leicester,1,1
"Sep 28, 2024",Crystal Palace,2,1
"Oct 05, 2024",Newcastle United,0,0
"Oct 19, 2024",Ipswich,0,2
"Oct 26, 2024",Fulham,1,1
"Nov 02, 2024",Southampton,1,0
"Nov 09, 2024",West Ham,0,0
"Nov 23, 2024",Brentford,0,0
"Dec 01, 2024",Manchester United,4,0
"Dec 04, 2024",Wolverhampton Wanderers,4,0
"Dec 14, 2024",Arsenal,0,0
"Dec 22, 2024",Chelsea,0,0
"Dec 26, 2024",Manchester City,1,1
"Dec 29, 2024",Nottingham Forest,0,2
"Jan 04, 2025",Bournemouth,1,0
"Jan 15, 2025",Aston Villa,0,1
