№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Dwight McNeil,M,11,981,3,3,1.83,2.66,1.05-1.95,3.61+0.61,0.10,0.33
2,Michael Keane,D,9,810,2,0,0.89,0.11,0.79-1.21,0.12+0.12,0.09,0.01
3,Dominic Calvert-Lewin,F,12,1007,2,1,2.77,0.45,4.56+2.56,0.60-0.40,0.41,0.05
4,Iliman Ndiaye,M,12,912,2,0,1.48,0.89,1.56-0.44,0.75+0.75,0.15,0.07
5,Beto,S,8,90,1,0,8.00,0.00,1.85+0.85,0.00,1.85,0.00
6,Seamus Coleman,D,1,90,0,0,1.00,0.00,0.48+0.48,0.00,0.48,0.00
7,Ashley Young,D,10,880,0,3,0.31,1.64,0.09+0.09,1.51-1.49,0.01,0.15
8,Idrissa Gueye,M,11,824,0,0,1.53,0.87,0.75+0.75,0.60+0.60,0.08,0.07
9,Jordan Pickford,GK,12,1080,0,0,0.00,0.00,0.00,0.00,0.00,0.00
10,Mason Holgate,S,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00
11,James Tarkowski,D,12,1080,0,0,0.67,0.75,0.68+0.68,1.17+1.17,0.06,0.10
12,Abdoulaye Doucouré,M,10,736,0,0,0.61,1.10,0.43+0.43,0.27+0.27,0.05,0.03
13,Orel Mangala,M,9,462,0,0,1.17,0.58,0.26+0.26,0.23+0.23,0.05,0.04
14,James Garner,D,4,251,0,0,0.72,0.36,0.06+0.06,0.02+0.02,0.02,0.01
15,Jarrad Branthwaite,D,5,274,0,0,0.33,0.00,0.04+0.04,0.00,0.01,0.00
16,Jack Harrison,M,11,639,0,0,1.41,1.27,0.83+0.83,1.34+1.34,0.12,0.19
17,Tim Iroegbunam,M,6,380,0,0,0.95,0.47,0.19+0.19,0.10+0.10,0.05,0.02
18,Jesper Lindstrom,M,8,420,0,0,3.00,1.93,0.95+0.95,1.11+1.11,0.20,0.24
19,Vitalii Mykolenko,D,10,835,0,0,0.75,0.75,0.33+0.33,0.49+0.49,0.04,0.05
20,Jake O'Brien,S,1,19,0,0,0.00,0.00,0.00,0.00,0.00,0.00
21,Harrison Armstrong,S,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00
22,Roman Dixon,D,1,90,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,10,7,13.10,9.76,14.91+4.91,11.91+4.91,1.24,0.99
