Date,Opponent,Home Score,Away Score
"Aug 16, 2024",Manchester United,1,0
"Aug 24, 2024",Leicester,2,1
"Aug 31, 2024",Ipswich,1,1
"Sep 14, 2024",West Ham,1,1
"Sep 21, 2024",Newcastle United,3,1
"Sep 28, 2024",Nottingham Forest,0,1
"Oct 05, 2024",Manchester City,3,2
"Oct 19, 2024",Aston Villa,1,3
"Oct 26, 2024",Everton,1,1
"Nov 05, 2024",Brentford,2,1
"Nov 09, 2024",Crystal Palace,0,2
"Nov 23, 2024",Wolverhampton Wanderers,1,4
"Dec 01, 2024",Tottenham,1,1
"Dec 05, 2024",Brighton,3,1
"Dec 08, 2024",Arsenal,1,1
"Dec 14, 2024",Liverpool,2,2
"Dec 22, 2024",Southampton,0,0
"Dec 26, 2024",Chelsea,1,2
"Dec 29, 2024",Bournemouth,2,2
"Jan 05, 2025",Ipswich,2,2
"Jan 14, 2025",West Ham,3,2
