№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Raúl Jiménez,F,21,1341,8,2,3.49,0.74,9.88+1.88,2.91+0.91,0.66,0.20
2,Alex Iwobi,D F M,21,1825,7,3,2.02,2.02,3.58-3.42,5.78+2.78,0.18,0.29
3,Harry Wilson,F M,17,680,5,0,3.57,1.32,2.83-2.17,0.47+0.47,0.37,0.06
4,Emile Smith-Rowe,M,19,1242,3,2,1.52,1.16,3.09+0.09,1.49-0.51,0.22,0.11
5,Rodrigo Muniz,F,20,578,3,1,3.43,0.93,2.73-0.27,0.68-0.32,0.43,0.11
6,Andreas Pereira,M,19,1293,2,1,1.81,2.51,2.93+0.93,2.94+1.94,0.20,0.20
7,Adama Traoré,F M,20,959,1,3,2.35,2.44,4.62+3.62,4.33+1.33,0.43,0.41
8,Reiss Nelson,M,11,490,1,1,2.02,2.39,1.42+0.42,1.13+0.13,0.26,0.21
9,Tom Cairney,M,15,341,1,0,0.79,1.58,0.08-0.92,1.41+1.41,0.02,0.37
10,Bernd Leno,GK,21,1890,0,1,0.00,0.05,0.00,0.04-0.96,0.00,0.00
11,Harrison Reed,S,8,44,0,0,2.05,2.05,0.02+0.02,0.08+0.08,0.04,0.16
12,Sasa Lukic,M,16,1254,0,1,0.43,0.65,0.80+0.80,1.16+0.16,0.06,0.08
13,Issa Diop,D,15,1060,0,0,0.42,0.17,0.49+0.49,0.12+0.12,0.04,0.01
14,Kenny Tete,D,15,1278,0,2,1.34,0.35,1.29+1.29,0.51-1.49,0.09,0.04
15,Timothy Castagne,D,11,613,0,1,0.59,0.73,0.17+0.17,0.69-0.31,0.03,0.10
16,Joachim Andersen,D,12,1058,0,0,0.68,0.09,0.22+0.22,0.11+0.11,0.02,0.01
17,Ryan Sessegnon,S,2,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00
18,Carlos Vinicius,S,1,1,0,0,90.00,0.00,0.05+0.05,0.00,4.94,0.00
19,Sander Berge,M,14,959,0,0,0.09,1.03,0.03+0.03,0.46+0.46,0.00,0.04
20,Jorge Cuenca,D,4,93,0,0,0.00,0.00,0.00,0.00,0.00,0.00
21,Antonee Robinson,D M,21,1890,0,9,0.52,1.43,0.92+0.92,3.01-5.99,0.04,0.14
22,Jay Stansfield,S,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00
23,Martial Godo,S,1,12,0,0,0.00,0.00,0.00,0.00,0.00,0.00
24,Calvin Bassey,D,20,1800,0,0,0.40,0.10,0.39+0.39,0.06+0.06,0.02,0.00
25,Joshua King,M,4,74,0,0,1.22,3.65,0.04+0.04,0.75+0.75,0.05,0.92
,,,,,31,27,13.96,11.20,35.59+4.59,28.13+1.13,1.70,1.34
