Date,Opponent,Home Score,Away Score
"Aug 17, 2024",Liverpool,0,2
"Aug 24, 2024",Manchester City,4,1
"Aug 31, 2024",Fulham,1,1
"Sep 14, 2024",Brighton,0,0
"Sep 21, 2024",Southampton,1,1
"Sep 29, 2024",Aston Villa,2,2
"Oct 05, 2024",West Ham,4,1
"Oct 19, 2024",Everton,0,2
"Oct 26, 2024",Brentford,4,3
"Nov 02, 2024",Leicester,1,1
"Nov 10, 2024",Tottenham,1,2
"Nov 24, 2024",Manchester United,1,1
"Nov 30, 2024",Nottingham Forest,1,0
"Dec 03, 2024",Crystal Palace,0,1
"Dec 08, 2024",Bournemouth,1,2
"Dec 14, 2024",Wolverhampton Wanderers,1,2
"Dec 21, 2024",Newcastle United,0,4
"Dec 28, 2024",Arsenal,1,0
"Dec 30, 2024",Chelsea,2,0
"Jan 05, 2025",Fulham,2,2
