№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Liam Delap,F,19,1490,8,2,2.05,0.97,8.45+0.45,2.17+0.17,0.51,0.13
2,Sammie Szmodics,M,18,1014,4,0,1.86,0.36,4.51+0.51,0.15+0.15,0.40,0.01
3,Omari Hutchinson,M,18,1559,2,1,1.33,0.98,1.88-0.12,2.09+1.09,0.11,0.12
4,George Hirst,F,8,163,1,1,1.66,1.66,0.86-0.14,0.34-0.66,0.47,0.19
5,Leif Davis,D,20,1800,1,2,0.55,1.95,0.59-0.41,4.61+2.61,0.03,0.23
6,Sam Morsy,M,18,1618,1,1,0.39,0.72,0.21-0.79,0.70-0.30,0.01,0.04
7,Conor Chaplin,F M,15,610,1,1,1.77,0.89,1.15+0.15,0.74-0.26,0.17,0.11
8,Jack Taylor,M,15,317,1,0,3.41,1.42,0.35-0.65,0.77+0.77,0.10,0.22
9,Axel Tuanzebe,D,9,780,0,0,0.35,0.35,0.34+0.34,0.57+0.57,0.04,0.07
10,Ben Johnson,D M,12,660,0,1,0.27,0.27,0.39+0.39,0.52-0.48,0.05,0.07
11,Arijanet Muric,GK,17,1530,0,0,0.00,0.00,0.00,0.00,0.00,0.00
12,Kalvin Phillips,M,11,695,0,0,0.91,0.26,0.33+0.33,0.09+0.09,0.04,0.01
13,Dara O'Shea,D,17,1509,0,0,0.72,0.00,0.86+0.86,0.00,0.05,0.00
14,Conor Townsend,S,1,1,0,0,0.00,90.00,0.00,0.03+0.03,0.00,2.71
15,Christian Walton,GK,3,270,0,0,0.00,0.33,0.00,0.02+0.02,0.00,0.01
16,Nathan Broadhead,M,6,208,0,0,2.16,1.30,0.35+0.35,0.56+0.56,0.15,0.24
17,Jens Cajuste,M,14,863,0,0,0.31,0.52,0.10+0.10,0.24+0.24,0.01,0.02
18,Chiedozie Ogbene,M,5,237,0,0,0.00,0.76,0.00,0.07+0.07,0.00,0.03
19,Jacob Greaves,D,11,990,0,0,0.55,0.09,0.79+0.79,0.01+0.01,0.07,0.00
20,Luke Woolfenden,D,8,639,0,0,0.14,0.00,0.06+0.06,0.00,0.01,0.00
21,Massimo Luongo,M,5,147,0,0,0.00,0.00,0.00,0.00,0.00,0.00
22,Wes Burns,M,16,862,0,1,0.63,0.94,0.32+0.32,2.13+1.13,0.03,0.22
23,Ali Al-Hamadi,S,11,98,0,0,3.67,1.84,0.53+0.53,0.08+0.08,0.49,0.07
24,Marcus Harness,S,2,37,0,0,0.00,0.00,0.00,0.00,0.00,0.00
25,Cameron Burgess,D,9,810,0,1,0.89,0.33,0.44+0.44,0.17-0.83,0.05,0.02
26,George Edmundson,S,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00
27,Jack Clarke,M,16,504,0,2,1.96,1.61,1.06+1.06,1.33-0.67,0.19,0.24
28,Harry Clarke,D,7,378,0,0,0.24,0.24,0.06+0.06,0.07+0.07,0.01,0.02
,,,,,19,13,9.60,7.35,23.64+4.64,17.47+4.47,1.18,0.87
