Date,Opponent,Home Score,Away Score
"Aug 19, 2024",Tottenham,1,1
"Aug 24, 2024",Fulham,2,1
"Aug 31, 2024",Aston Villa,1,2
"Sep 14, 2024",Crystal Palace,2,2
"Sep 21, 2024",Everton,1,1
"Sep 28, 2024",Arsenal,4,2
"Oct 05, 2024",Bournemouth,1,0
"Oct 19, 2024",Southampton,2,3
"Oct 25, 2024",Nottingham Forest,1,3
"Nov 02, 2024",Ipswich,1,1
"Nov 10, 2024",Manchester United,3,0
"Nov 23, 2024",Chelsea,1,2
"Nov 30, 2024",Brentford,4,1
"Dec 04, 2024",West Ham,3,1
"Dec 08, 2024",Brighton,2,2
"Dec 14, 2024",Newcastle United,4,0
"Dec 22, 2024",Wolverhampton Wanderers,0,3
"Dec 27, 2024",Liverpool,3,1
"Dec 29, 2024",Manchester City,0,2
"Jan 04, 2025",Aston Villa,2,1
"Jan 15, 2025",Crystal Palace,0,2
