№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Jamie Vardy,F,18,1498,6,3,1.80,0.66,6.91+0.91,2.69-0.31,0.42,0.16
2,Jordan Ayew,F M,17,922,4,0,1.76,0.68,2.89-1.11,0.72+0.72,0.28,0.07
3,Facundo Buonanotte,F M,17,1051,4,2,1.97,1.71,3.28-0.72,3.07+1.07,0.28,0.26
4,Stephy Mavididi,M,19,1110,3,1,1.30,1.22,2.59-0.41,1.72+0.72,0.21,0.14
5,James Justin,D,19,1652,2,1,0.93,0.33,1.70-0.30,0.58-0.42,0.09,0.03
6,Bobby Reid,F M,14,250,1,0,1.80,0.36,0.62-0.38,0.09+0.09,0.22,0.03
7,Wout Faes,D,17,1269,1,0,0.50,0.14,1.23+0.23,0.03+0.03,0.09,0.00
8,Patson Daka,F,8,186,1,0,1.45,0.00,0.38-0.62,0.00,0.18,0.00
9,Bilal El Khannouss,M,15,823,1,1,0.77,1.53,0.39-0.61,2.17+1.17,0.04,0.24
10,Jannik Vestergaard,D,12,947,0,0,0.19,0.10,0.07+0.07,0.02+0.02,0.01,0.00
11,Danny Ward,GK,2,132,0,0,0.00,0.00,0.00,0.00,0.00,0.00
12,Harry Winks,M,15,1146,0,2,0.55,1.10,0.13+0.13,1.22-0.78,0.01,0.10
13,Ricardo Pereira,D,2,152,0,0,0.00,0.00,0.00,0.00,0.00,0.00
14,Odsonne Edouard,S,4,19,0,0,0.00,4.74,0.00,0.08+0.08,0.00,0.38
15,Wilfred Ndidi,M,15,1239,0,4,0.87,0.65,1.20+1.20,2.14-1.86,0.09,0.16
16,Boubakary Soumare,M,13,834,0,0,0.22,0.32,0.09+0.09,0.08+0.08,0.01,0.01
17,Hamza Choudhury,M,4,125,0,0,0.00,1.44,0.00,0.40+0.40,0.00,0.29
18,Conor Coady,D,9,715,0,0,0.00,0.13,0.00,0.07+0.07,0.00,0.01
19,Oliver Skipp,M,12,699,0,0,0.26,0.90,0.07+0.07,0.24+0.24,0.01,0.03
20,Caleb Okoli,D,13,793,0,0,0.34,0.00,0.33+0.33,0.00,0.04,0.00
21,Luke Thomas,D,2,180,0,0,0.50,0.00,0.03+0.03,0.00,0.02,0.00
22,Kasey McAteer,M,9,334,0,1,1.62,0.54,1.09+1.09,0.14-0.86,0.30,0.04
23,Victor Kristiansen,D,17,1498,0,1,0.00,0.78,0.00,1.33+0.33,0.00,0.08
24,Mads Hermansen,GK,16,1398,0,0,0.00,0.00,0.00,0.00,0.00,0.00
25,Abdul Fatawu,D F M,11,571,0,2,2.05,0.95,0.47+0.47,1.47-0.53,0.07,0.23
26,Jakub Stolarczyk,GK,3,270,0,0,0.00,0.00,0.00,0.00,0.00,0.00
27,Will Alves,S,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,23,18,8.69,6.75,23.49+0.49,18.26+0.26,1.17,0.91
