Date,Opponent,Home Score,Away Score
"Aug 17, 2024",Ipswich,0,2
"Aug 25, 2024",Brentford,2,0
"Sep 01, 2024",Manchester United,0,3
"Sep 14, 2024",Nottingham Forest,0,1
"Sep 21, 2024",Bournemouth,3,0
"Sep 28, 2024",Wolverhampton Wanderers,1,2
"Oct 05, 2024",Crystal Palace,0,1
"Oct 20, 2024",Chelsea,2,1
"Oct 27, 2024",Arsenal,2,2
"Nov 02, 2024",Brighton,2,1
"Nov 10, 2024",Aston Villa,2,0
"Nov 24, 2024",Southampton,2,3
"Dec 01, 2024",Manchester City,2,0
"Dec 04, 2024",Newcastle United,3,3
"Dec 14, 2024",Fulham,2,2
"Dec 22, 2024",Tottenham,3,6
"Dec 27, 2024",Leicester,3,1
"Dec 29, 2024",West Ham,0,5
"Jan 05, 2025",Manchester United,2,2
