№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Mohamed Salah,M,12,1060,10,6,3.40,1.87,8.49-1.51,4.16-1.84,0.72,0.35
2,Luis Díaz,M,12,683,5,2,2.77,2.24,3.73-1.27,2.15+0.15,0.49,0.28
3,Diogo Jota,F,7,507,2,2,2.49,0.53,3.80+1.80,0.82-1.18,0.68,0.14
4,Darwin Núñez,F,9,515,2,1,2.27,0.70,2.07+0.07,0.97-0.03,0.36,0.17
5,Virgil van Dijk,D,12,1080,1,1,0.42,0.42,0.59-0.41,0.45-0.55,0.05,0.04
6,Ibrahima Konaté,D,12,979,1,1,0.74,0.28,1.21+0.21,0.35-0.65,0.11,0.03
7,Curtis Jones,M,9,478,1,1,1.88,0.94,1.57+0.57,0.22-0.78,0.30,0.04
8,Dominik Szoboszlai,M,12,836,1,1,1.94,1.83,1.50+0.50,1.97+0.97,0.16,0.21
9,Cody Gakpo,M,12,466,1,1,2.90,2.32,1.14+0.14,1.78+0.78,0.22,0.34
10,Joseph Gomez,S,3,44,0,0,4.09,0.00,0.34+0.34,0.00,0.70,0.00
11,Alisson,GK,6,531,0,0,0.00,0.00,0.00,0.00,0.00,0.00
12,Federico Chiesa,S,1,15,0,0,12.00,0.00,0.42+0.42,0.00,2.52,0.00
13,Andrew Robertson,D,11,862,0,0,0.31,1.77,0.53+0.53,1.97+1.97,0.06,0.21
14,Trent Alexander-Arnold,D,11,886,0,1,1.02,2.03,0.36+0.36,3.31+2.31,0.04,0.34
15,Harvey Elliott,S,1,5,0,0,0.00,0.00,0.00,0.00,0.00,0.00
16,Caoimhin Kelleher,GK,6,540,0,0,0.00,0.00,0.00,0.00,0.00,0.00
17,Alexis Mac Allister,M,12,810,0,0,0.78,1.22,0.36+0.36,1.17+1.17,0.04,0.13
18,Wataru Endo,S,6,16,0,0,0.00,5.63,0.00,0.02+0.02,0.00,0.13
19,Konstantinos Tsimikas,D,6,218,0,0,0.83,1.24,0.10+0.10,0.83+0.83,0.04,0.34
20,Conor Bradley,D,7,220,0,0,2.05,0.00,0.83+0.83,0.00,0.34,0.00
21,Jarell Quansah,D,1,47,0,0,0.00,0.00,0.00,0.00,0.00,0.00
22,Ryan Gravenberch,M,12,1080,0,1,0.58,0.58,0.82+0.82,0.97-0.03,0.07,0.08
23,Vítezslav Jaros,S,1,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,24,18,15.16,12.24,27.87+3.87,21.15+3.15,2.32,1.76
