Date,Opponent,Home Score,Away Score
"Aug 18, 2024",Chelsea,0,2
"Aug 24, 2024",Ipswich,4,1
"Aug 31, 2024",West Ham,1,3
"Sep 14, 2024",Brentford,2,1
"Sep 22, 2024",Arsenal,2,2
"Sep 28, 2024",Newcastle United,1,1
"Oct 05, 2024",Fulham,3,2
"Oct 20, 2024",Wolverhampton Wanderers,1,2
"Oct 26, 2024",Southampton,1,0
"Nov 02, 2024",Bournemouth,2,1
"Nov 09, 2024",Brighton,2,1
"Nov 23, 2024",Tottenham,0,4
"Dec 01, 2024",Liverpool,2,0
"Dec 04, 2024",Nottingham Forest,3,0
"Dec 07, 2024",Crystal Palace,2,2
"Dec 15, 2024",Manchester United,1,2
"Dec 21, 2024",Aston Villa,2,1
"Dec 26, 2024",Everton,1,1
"Dec 29, 2024",Leicester,0,2
"Jan 04, 2025",West Ham,4,1
