№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Erling Haaland,F,20,1795,16,1,4.11,0.85,17.69+1.69,1.95+0.95,0.89,0.10
2,Josko Gvardiol,D,19,1659,4,0,1.52,0.98,3.07-0.93,1.53+1.53,0.17,0.08
3,Mateo Kovacic,M,16,1235,3,0,1.89,1.38,1.06-1.94,2.02+2.02,0.08,0.15
4,Kevin De Bruyne,M,13,825,2,3,3.05,3.05,2.14+0.14,5.05+2.05,0.23,0.55
5,John Stones,D,8,325,2,0,0.55,0.55,0.67-1.33,0.08+0.08,0.18,0.02
6,Bernardo Silva,M,20,1637,2,4,1.37,1.98,3.58+1.58,4.16+0.16,0.20,0.23
7,Phil Foden,F M,15,1042,2,1,3.02,2.68,2.69+0.69,4.02+3.02,0.23,0.35
8,Jéremy Doku,F M,14,712,2,3,1.90,1.64,0.98-1.02,1.62-1.38,0.12,0.20
9,Rico Lewis,D M,18,1400,1,2,0.58,0.45,1.56+0.56,0.35-1.65,0.10,0.02
10,Sávio,F M,17,1021,1,5,2.73,2.56,2.54+1.54,4.83-0.17,0.22,0.43
11,Ilkay Gündogan,M,18,1151,0,1,1.17,1.56,1.69+1.69,1.09+0.09,0.13,0.08
12,Nathan Aké,D,8,515,0,0,0.52,0.00,0.24+0.24,0.00,0.04,0.00
13,Kyle Walker,D,15,968,0,0,0.46,0.65,0.11+0.11,0.72+0.72,0.01,0.07
14,Jack Grealish,M,14,556,0,1,2.10,3.56,0.77+0.77,1.72+0.72,0.13,0.28
15,Rodri,M,2,59,0,0,0.00,1.53,0.00,0.05+0.05,0.00,0.08
16,Ederson,GK,13,1170,0,1,0.00,0.08,0.00,0.20-0.80,0.00,0.02
17,Manuel Akanji,D,16,1370,0,0,0.53,0.53,0.26+0.26,0.32+0.32,0.02,0.02
18,Stefan Ortega Moreno,GK,7,630,0,0,0.00,0.00,0.00,0.00,0.00,0.00
19,Rúben Dias,D,13,1081,0,0,1.08,0.42,0.94+0.94,0.21+0.21,0.08,0.02
20,James McAtee,S,4,34,0,0,2.65,0.00,0.07+0.07,0.00,0.19,0.00
21,Matheus Nunes,D M,12,529,0,3,0.68,2.21,0.29+0.29,1.63-1.37,0.05,0.28
22,Jahmai Simpson-Pusey,D,2,94,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,35,25,17.14,13.84,40.36+5.36,31.56+6.56,2.02,1.58
