Date,Opponent,Home Score,Away Score
"Aug 16, 2024",Fulham,1,0
"Aug 24, 2024",Brighton,2,1
"Sep 01, 2024",Liverpool,0,3
"Sep 14, 2024",Southampton,0,3
"Sep 21, 2024",Crystal Palace,0,0
"Sep 29, 2024",Tottenham,0,3
"Oct 06, 2024",Aston Villa,0,0
"Oct 19, 2024",Brentford,2,1
"Oct 27, 2024",West Ham,2,1
"Nov 03, 2024",Chelsea,1,1
"Nov 10, 2024",Leicester,3,0
"Nov 24, 2024",Ipswich,1,1
"Dec 01, 2024",Everton,4,0
"Dec 05, 2024",Arsenal,2,0
"Dec 07, 2024",Nottingham Forest,2,3
"Dec 15, 2024",Manchester City,1,2
"Dec 22, 2024",Bournemouth,0,3
"Dec 26, 2024",Wolverhampton Wanderers,2,0
"Dec 31, 2024",Newcastle United,0,2
"Jan 05, 2025",Liverpool,2,2
