№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Marcus Rashford,F M,15,1004,4,1,1.43,1.25,1.94-2.06,2.17+1.17,0.17,0.19
2,Bruno Fernandes,F M,19,1574,4,6,3.03,2.46,6.85+2.85,4.98-1.02,0.39,0.28
3,Joshua Zirkzee,F M,20,678,3,1,2.12,1.19,3.61+0.61,1.77+0.77,0.48,0.24
4,Amad Diallo Traore,D F M,18,1221,3,6,2.36,1.92,2.78-0.22,2.85-3.15,0.21,0.21
5,Alejandro Garnacho,M,19,1023,3,1,3.43,1.41,5.41+2.41,1.47+0.47,0.48,0.13
6,Rasmus Højlund,F,15,992,2,0,1.00,0.82,2.21+0.21,1.14+1.14,0.20,0.10
7,Casemiro,M,14,845,1,0,1.92,1.70,1.27+0.27,1.95+1.95,0.14,0.21
8,Matthijs de Ligt,D,18,1321,1,0,0.68,0.14,1.40+0.40,0.05+0.05,0.10,0.00
9,Lisandro Martínez,D,17,1499,1,1,0.84,0.48,1.54+0.54,1.16+0.16,0.09,0.07
10,Christian Eriksen,M,11,624,0,0,0.43,2.16,0.16+0.16,1.75+1.75,0.02,0.25
11,Jonny Evans,D,6,287,0,0,0.31,0.00,0.06+0.06,0.00,0.02,0.00
12,Luke Shaw,S,2,63,0,0,0.00,0.00,0.00,0.00,0.00,0.00
13,Harry Maguire,D,13,805,0,0,0.45,0.45,0.65+0.65,0.14+0.14,0.07,0.02
14,Scott McTominay,S,2,15,0,0,6.00,0.00,0.13+0.13,0.00,0.76,0.00
15,Victor Lindelöf,S,5,50,0,0,0.00,1.80,0.00,0.05+0.05,0.00,0.09
16,Diogo Dalot,D,20,1769,0,1,0.76,0.71,1.09+1.09,1.63+0.63,0.06,0.08
17,Mason Mount,F M,8,250,0,0,1.08,1.44,0.52+0.52,0.10+0.10,0.19,0.03
18,Leny Yoro,D,7,238,0,0,1.13,0.00,0.93+0.93,0.00,0.35,0.00
19,Noussair Mazraoui,D,20,1540,0,1,0.53,0.35,0.42+0.42,0.27-0.73,0.02,0.02
20,Tyrell Malacia,D,2,94,0,0,0.00,0.96,0.00,0.06+0.06,0.00,0.06
21,André Onana,GK,20,1800,0,0,0.00,0.05,0.00,0.31+0.31,0.00,0.02
22,Antony,S,6,72,0,0,5.00,2.50,0.13+0.13,0.14+0.14,0.16,0.17
23,Kobbie Mainoo,M,14,1112,0,0,0.73,0.97,0.41+0.41,1.50+1.50,0.03,0.12
24,Manuel Ugarte,M,14,802,0,0,0.45,0.67,0.16+0.16,1.09+1.09,0.02,0.12
25,Toby Collyer,S,1,39,0,0,0.00,2.31,0.00,0.02+0.02,0.00,0.04
,,,,,22,18,13.31,10.54,31.67+9.67,24.62+6.62,1.59,1.24
