Date,Opponent,Home Score,Away Score
"Aug 17, 2024",Southampton,1,0
"Aug 25, 2024",Bournemouth,1,1
"Sep 01, 2024",Tottenham,2,1
"Sep 15, 2024",Wolverhampton Wanderers,1,2
"Sep 21, 2024",Fulham,3,1
"Sep 28, 2024",Manchester City,1,1
"Oct 05, 2024",Everton,0,0
"Oct 19, 2024",Brighton,0,1
"Oct 27, 2024",Chelsea,2,1
"Nov 02, 2024",Arsenal,1,0
"Nov 10, 2024",Nottingham Forest,1,3
"Nov 26, 2024",West Ham,0,2
"Nov 30, 2024",Crystal Palace,1,1
"Dec 04, 2024",Liverpool,3,3
"Dec 07, 2024",Brentford,4,2
"Dec 14, 2024",Leicester,4,0
"Dec 21, 2024",Ipswich,0,4
"Dec 26, 2024",Aston Villa,3,0
"Dec 31, 2024",Manchester United,0,2
"Jan 04, 2025",Tottenham,1,2
