№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Alexander Isak,F,9,768,4,2,3.05,1.17,4.73+0.73,1.32-0.68,0.55,0.15
2,Harvey Barnes,F,11,497,4,1,3.26,1.63,2.04-1.96,1.73+0.73,0.37,0.31
3,Joelinton,F M,11,933,2,0,1.74,1.06,1.96-0.04,0.66+0.66,0.19,0.06
4,Anthony Gordon,F,10,865,2,1,1.56,2.39,3.46+1.46,2.31+1.31,0.36,0.24
5,Fabian Schär,D,9,747,1,0,1.33,0.12,0.47-0.53,0.07+0.07,0.06,0.01
6,Kieran Trippier,D,5,284,0,0,0.32,0.63,0.06+0.06,0.15+0.15,0.02,0.05
7,Emil Krafth,D,3,241,0,0,0.37,0.37,0.03+0.03,0.06+0.06,0.01,0.02
8,Nick Pope,GK,11,990,0,0,0.00,0.00,0.00,0.00,0.00,0.00
9,Jacob Murphy,F,9,493,0,2,1.28,1.28,0.42+0.42,1.11-0.89,0.08,0.20
10,Joe Willock,M,9,312,0,1,1.73,3.17,0.40+0.40,1.45+0.45,0.12,0.42
11,Sean Longstaff,M,10,508,0,0,0.53,0.35,0.25+0.25,0.09+0.09,0.04,0.02
12,Dan Burn,D,11,990,0,0,0.64,0.18,0.73+0.73,0.11+0.11,0.07,0.01
13,Miguel Almirón,F,5,103,0,0,3.50,0.87,0.30+0.30,0.12+0.12,0.26,0.10
14,Sandro Tonali,M,9,410,0,1,1.32,0.88,0.52+0.52,0.24-0.76,0.11,0.05
15,Lloyd Kelly,D,7,211,0,1,0.43,0.43,0.13+0.13,0.33-0.67,0.06,0.14
16,Bruno Guimarães,M,11,985,0,1,1.28,0.64,0.60+0.60,0.73-0.27,0.05,0.07
17,Valentino Livramento,D,11,706,0,0,0.00,0.64,0.00,0.31+0.31,0.00,0.04
18,William Osula,S,4,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00
19,Lewis Hall,D,11,782,0,1,0.00,1.38,0.00,1.76+0.76,0.00,0.20
,,,,,13,11,12.61,9.96,16.10+3.10,12.56+1.56,1.47,1.15
