№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Chris Wood,F,21,1706,13,1,1.95,0.37,8.68-4.32,1.10+0.10,0.46,0.06
2,Morgan Gibbs-White,M,17,1378,4,3,1.76,1.76,2.17-1.83,4.17+1.17,0.14,0.27
3,Anthony Elanga,M,21,1232,3,5,1.46,1.75,2.91-0.09,2.88-2.12,0.21,0.21
4,Ola Aina,D,21,1839,2,0,0.34,0.34,0.39-1.61,1.01+1.01,0.02,0.05
5,Nikola Milenkovic,D,20,1800,2,1,0.95,0.20,2.83+0.83,0.58-0.42,0.14,0.03
6,Callum Hudson-Odoi,M,19,1521,2,2,1.54,1.95,1.97-0.03,2.40+0.40,0.12,0.14
7,Taiwo Awoniyi,F,16,201,1,0,3.58,0.45,2.09+1.09,0.06+0.06,0.93,0.03
8,Ryan Yates,M,20,1397,1,0,1.48,0.77,2.02+1.02,0.55+0.55,0.13,0.04
9,Murillo,D,20,1781,1,0,0.86,0.51,1.57+0.57,0.99+0.99,0.08,0.05
10,Ramón Sosa,M,12,191,1,0,4.24,3.30,1.05+0.05,0.64+0.64,0.49,0.30
11,James Ward-Prowse,M,9,401,0,1,0.45,0.90,0.06+0.06,0.94-0.06,0.01,0.21
12,Álex Moreno,D,12,816,0,1,0.66,0.44,0.22+0.22,0.84-0.16,0.02,0.09
13,Ibrahim Sangare,M,3,217,0,0,0.41,0.41,0.02+0.02,0.01+0.01,0.01,0.00
14,Willy Boly,D,4,111,0,0,0.81,0.00,0.08+0.08,0.00,0.07,0.00
15,Matz Sels,GK,21,1890,0,0,0.00,0.00,0.00,0.00,0.00,0.00
16,Neco Williams,D,18,1069,0,1,1.43,0.51,1.62+1.62,0.43-0.57,0.14,0.04
17,Nicolás Domínguez,M,18,971,0,0,1.11,0.28,1.58+1.58,0.14+0.14,0.15,0.01
18,Elliot Anderson,M,20,1302,0,5,1.52,1.87,1.38+1.38,3.41-1.59,0.10,0.24
19,Harry Toffolo,S,3,32,0,0,2.81,0.00,0.02+0.02,0.00,0.06,0.00
20,Danilo,M,1,14,0,0,0.00,0.00,0.00,0.00,0.00,0.00
21,Eric da Silva Moreira,S,2,27,0,0,0.00,0.00,0.00,0.00,0.00,0.00
22,Jota Silva,M,20,528,0,1,1.53,1.88,0.67+0.67,2.35+1.35,0.11,0.40
23,Morato,D,14,370,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,30,21,12.57,8.95,31.33+1.33,22.51+1.51,1.49,1.07
