Date,Opponent,Home Score,Away Score
"Aug 17, 2024",Newcastle United,1,0
"Aug 24, 2024",Nottingham Forest,0,1
"Aug 31, 2024",Brentford,3,1
"Sep 14, 2024",Manchester United,0,3
"Sep 21, 2024",Ipswich,1,1
"Sep 30, 2024",Bournemouth,3,1
"Oct 05, 2024",Arsenal,3,1
"Oct 19, 2024",Leicester,2,3
"Oct 26, 2024",Manchester City,1,0
"Nov 02, 2024",Everton,1,0
"Nov 09, 2024",Wolverhampton Wanderers,2,0
"Nov 24, 2024",Liverpool,2,3
"Nov 30, 2024",Brighton,1,1
"Dec 04, 2024",Chelsea,1,5
"Dec 07, 2024",Aston Villa,1,0
"Dec 15, 2024",Tottenham,0,5
"Dec 22, 2024",Fulham,0,0
"Dec 26, 2024",West Ham,0,1
"Dec 29, 2024",Crystal Palace,2,1
"Jan 04, 2025",Brentford,0,5
