№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Adam Armstrong,F M,9,537,2,1,2.51,0.67,2.40+0.40,0.56-0.44,0.40,0.09
2,Cameron Archer,F,12,609,2,0,2.22,0.15,4.49+2.49,0.10+0.10,0.66,0.01
3,Taylor Harwood-Bellis,D,12,951,1,0,0.85,0.66,1.73+0.73,0.91+0.91,0.16,0.09
4,Tyler Dibling,F M,12,655,1,0,1.37,1.24,0.85-0.15,1.14+1.14,0.12,0.16
5,Joe Ayodele-Aribo,M,11,661,1,0,1.23,0.41,1.33+0.33,0.62+0.62,0.18,0.08
6,Yukinari Sugawara,D,11,676,1,1,0.80,1.33,0.19-0.81,2.33+1.33,0.03,0.31
7,Mateus Fernandes,M,11,809,1,1,1.00,1.00,1.59+0.59,1.63+0.63,0.18,0.18
8,Adam Lallana,M,8,318,0,2,0.85,0.85,0.15+0.15,0.53-1.47,0.04,0.15
9,Alex McCarthy,GK,3,270,0,0,0.00,0.00,0.00,0.00,0.00,0.00
10,Kyle Walker-Peters,D,10,895,0,1,0.80,0.60,0.43+0.43,0.69-0.31,0.04,0.07
11,Ryan Fraser,D M,5,226,0,0,0.40,0.80,0.03+0.03,0.16+0.16,0.01,0.06
12,Jack Stephens,D,8,681,0,0,0.26,0.26,0.21+0.21,0.26+0.26,0.03,0.03
13,Maxwel Cornet,M,2,71,0,0,1.27,0.00,0.08+0.08,0.00,0.10,0.00
14,Aaron Ramsdale,GK,9,810,0,0,0.00,0.00,0.00,0.00,0.00,0.00
15,Jan Bednarek,D,11,985,0,0,0.09,0.27,0.01+0.01,0.24+0.24,0.00,0.02
16,Charlie Taylor,D,5,204,0,0,0.00,0.44,0.00,0.06+0.06,0.00,0.02
17,William Smallbone,M,4,244,0,0,1.48,1.11,0.26+0.26,0.21+0.21,0.10,0.08
18,Chimuanya Ugochukwu,M,6,203,0,0,0.44,0.89,0.44+0.44,0.11+0.11,0.19,0.05
19,Kamaldeen Sulemana,S,2,12,0,0,7.50,0.00,0.05+0.05,0.00,0.40,0.00
20,Samuel Edozie,S,2,57,0,0,0.00,1.58,0.00,0.08+0.08,0.00,0.13
21,Flynn Downes,D M,11,988,0,0,0.55,1.09,0.74+0.74,1.29+1.29,0.07,0.12
22,Carlos Alcaraz,S,1,5,0,0,18.00,18.00,0.04+0.04,0.05+0.05,0.71,0.90
23,James Bree,S,1,12,0,0,0.00,7.50,0.00,0.03+0.03,0.00,0.21
24,Paul Onuachu,F,6,105,0,0,2.57,0.86,0.07+0.07,0.05+0.05,0.06,0.05
25,Samuel Amo-Ameyaw,S,1,5,0,0,18.00,18.00,0.03+0.03,0.04+0.04,0.59,0.71
26,Ben Brereton Díaz,F M,7,404,0,0,2.45,0.67,1.31+1.31,0.16+0.16,0.29,0.03
27,Ross Stewart,F,4,120,0,0,1.50,0.00,0.13+0.13,0.00,0.10,0.00
28,Ryan Manning,D M,5,349,0,0,0.26,1.81,0.07+0.07,0.39+0.39,0.02,0.10
,,,,,9,6,10.02,7.68,16.62+7.62,11.62+5.62,1.39,0.97
