Date,Opponent,Home Score,Away Score
"Aug 19, 2024",Leicester,1,1
"Aug 24, 2024",Everton,4,0
"Sep 01, 2024",Newcastle United,2,1
"Sep 15, 2024",Arsenal,0,1
"Sep 21, 2024",Brentford,3,1
"Sep 29, 2024",Manchester United,0,3
"Oct 06, 2024",Brighton,3,2
"Oct 19, 2024",West Ham,4,1
"Oct 27, 2024",Crystal Palace,1,0
"Nov 03, 2024",Aston Villa,4,1
"Nov 10, 2024",Ipswich,1,2
"Nov 23, 2024",Manchester City,0,4
"Dec 01, 2024",Fulham,1,1
"Dec 06, 2024",Bournemouth,1,0
"Dec 08, 2024",Chelsea,3,4
"Dec 15, 2024",Southampton,0,5
"Dec 22, 2024",Liverpool,3,6
"Dec 26, 2024",Nottingham Forest,1,0
"Dec 29, 2024",Wolverhampton Wanderers,2,2
"Jan 04, 2025",Newcastle United,1,2
