№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,James Maddison,M,21,1236,8,4,2.40,1.89,5.03-2.97,3.57-0.43,0.37,0.26
2,Dominic Solanke,F,18,1608,7,3,2.57,0.67,9.58+2.58,2.24-0.76,0.54,0.13
3,Brennan Johnson,F M,21,1498,7,2,2.70,0.84,8.68+1.68,2.03+0.03,0.52,0.12
4,Son Heung-Min,F M,18,1335,6,6,2.49,2.29,4.93-1.07,6.70+0.70,0.33,0.45
5,Dejan Kulusevski,F M,21,1688,5,4,1.71,2.72,4.25-0.75,5.28+1.28,0.23,0.28
6,Yves Bissouma,M,17,977,2,0,0.46,0.37,0.23-1.77,0.20+0.20,0.02,0.02
7,Rodrigo Bentancur,M,12,700,2,0,1.67,0.26,0.90-1.10,0.12+0.12,0.12,0.02
8,Pedro Porro,D,21,1718,2,4,1.52,1.68,1.50-0.50,2.88-1.12,0.08,0.15
9,Cristian Romero,D,12,976,1,0,1.01,0.55,1.20+0.20,0.54+0.54,0.11,0.05
10,Pape Sarr,M,21,1107,1,2,1.63,0.81,2.59+1.59,1.45-0.55,0.21,0.12
11,Timo Werner,F M,17,481,0,3,1.50,1.87,0.95+0.95,3.08+0.08,0.18,0.58
12,Ben Davies,D,4,271,0,0,0.00,0.00,0.00,0.00,0.00,0.00
13,Fraser Forster,GK,7,630,0,0,0.00,0.00,0.00,0.00,0.00,0.00
14,Richarlison,S,6,86,0,1,1.05,3.14,0.32+0.32,0.77-0.23,0.34,0.81
15,Sergio Reguilón,S,2,77,0,0,1.17,1.17,0.07+0.07,0.03+0.03,0.08,0.03
16,Brandon Austin,GK,1,90,0,0,0.00,0.00,0.00,0.00,0.00,0.00
17,Iyenoma Destiny Udogie,D,18,1451,0,1,0.31,0.81,0.35+0.35,1.01+0.01,0.02,0.06
18,Guglielmo Vicario,GK,12,1080,0,0,0.00,0.00,0.00,0.00,0.00,0.00
19,Radu Dragusin,D,14,1118,0,0,0.32,0.16,0.16+0.16,0.34+0.34,0.01,0.03
20,Micky van de Ven,D,9,797,0,2,0.56,0.23,0.35+0.35,1.18-0.82,0.04,0.13
21,Archie Gray,D,14,675,0,0,0.13,0.00,0.03+0.03,0.00,0.00,0.00
22,Djed Spence,D,9,496,0,1,0.36,0.73,0.07+0.07,1.00,0.01,0.18
23,Wilson Odobert,F,3,167,0,0,3.23,1.62,0.74+0.74,0.05+0.05,0.40,0.03
24,Alfie Dorrington,S,1,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00
25,Mikey Moore,F,4,81,0,0,1.11,0.00,0.05+0.05,0.00,0.06,0.00
26,Lucas Bergvall,M,14,353,0,0,0.51,0.76,0.14+0.14,0.40+0.40,0.04,0.10
27,Will Lankshear,S,2,5,0,0,0.00,0.00,0.00,0.00,0.00,0.00
28,Antonín Kinsky,GK,1,90,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,41,33,14.61,11.04,42.14+1.14,32.88-0.12,2.01,1.56
