№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Jarrod Bowen,F M,11,974,3,2,2.22,2.22,2.47-0.53,3.78+1.78,0.23,0.35
2,Lucas Paquetá,M,11,828,2,0,1.52,1.30,2.08+0.08,0.87+0.87,0.23,0.09
3,Tomas Soucek,M,10,652,2,0,2.35,1.24,2.64+0.64,0.47+0.47,0.36,0.06
4,Mohammed Kudus,F M,8,671,2,0,3.62,0.67,3.24+1.24,1.04+1.04,0.43,0.14
5,Michail Antonio,F,11,685,1,1,2.23,1.05,2.65+1.65,1.58+0.58,0.35,0.21
6,Danny Ings,S,5,61,1,1,7.38,1.48,0.81-0.19,0.63-0.37,1.20,0.93
7,Crysencio Summerville,F M,10,335,1,0,1.07,1.88,0.84-0.16,0.72+0.72,0.23,0.19
8,Aaron Cresswell,S,4,21,0,0,4.29,4.29,0.04+0.04,0.02+0.02,0.17,0.09
9,Lukasz Fabianski,GK,4,312,0,0,0.00,0.00,0.00,0.00,0.00,0.00
10,James Ward-Prowse,S,1,13,0,0,0.00,0.00,0.00,0.00,0.00,0.00
11,Emerson,D,11,871,0,0,0.62,0.93,0.89+0.89,0.43+0.43,0.09,0.04
12,Alphonse Areola,GK,8,678,0,0,0.00,0.00,0.00,0.00,0.00,0.00
13,Carlos Soler,M,8,252,0,0,1.79,1.07,0.24+0.24,0.10+0.10,0.09,0.04
14,Aaron Wan-Bissaka,D,10,816,0,0,0.33,0.88,0.11+0.11,0.40+0.40,0.01,0.04
15,Niclas Füllkrug,S,3,58,0,0,3.10,0.00,0.26+0.26,0.00,0.40,0.00
16,Konstantinos Mavropanos,D,9,651,0,0,0.83,0.00,0.20+0.20,0.00,0.03,0.00
17,Jean-Clair Todibo,D,8,495,0,0,0.36,0.36,0.10+0.10,0.03+0.03,0.02,0.01
18,Max Kilman,D,11,990,0,1,0.36,0.55,1.14+1.14,0.32-0.68,0.10,0.03
19,Guido Rodríguez,M,11,818,0,0,0.66,0.11,0.10+0.10,0.03+0.03,0.01,0.00
20,Vladimir Coufal,D,5,222,0,0,0.41,0.41,0.03+0.03,0.12+0.12,0.01,0.05
21,Edson Álvarez,D M,8,411,0,0,0.66,0.88,0.09+0.09,0.15+0.15,0.02,0.03
22,Andy Irving,S,3,24,0,0,3.75,0.00,0.02+0.02,0.00,0.08,0.00
23,Luis Guilherme,S,2,7,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,12,5,13.51,9.22,17.94+5.94,10.71+5.71,1.64,0.98
