Date,Opponent,Home Score,Away Score
"Aug 17, 2024",Arsenal,2,0
"Aug 25, 2024",Chelsea,2,6
"Aug 31, 2024",Nottingham Forest,1,1
"Sep 15, 2024",Newcastle United,1,2
"Sep 21, 2024",Aston Villa,3,1
"Sep 28, 2024",Liverpool,1,2
"Oct 05, 2024",Brentford,5,3
"Oct 20, 2024",Manchester City,1,2
"Oct 26, 2024",Brighton,2,2
"Nov 02, 2024",Crystal Palace,2,2
"Nov 09, 2024",Southampton,2,0
"Nov 23, 2024",Fulham,1,4
"Nov 30, 2024",Bournemouth,2,4
"Dec 04, 2024",Everton,4,0
"Dec 10, 2024",West Ham,2,1
"Dec 14, 2024",Ipswich,1,2
"Dec 22, 2024",Leicester,0,3
"Dec 26, 2024",Manchester United,2,0
"Dec 29, 2024",Tottenham,2,2
"Jan 07, 2025",Nottingham Forest,0,3
"Jan 15, 2025",Newcastle United,3,0
