№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
1,Matheus Cunha,F M,12,988,7,3,3.19,1.91,3.30-3.70,3.54+0.54,0.30,0.32
2,Jørgen Strand Larsen,F,12,1015,4,2,1.42,0.62,2.67-1.33,1.68-0.32,0.24,0.15
3,Rayan Ait Nouri,D M,12,1032,3,2,1.13,0.96,1.98-1.02,1.05-0.95,0.17,0.09
4,João Gomes,M,12,1036,2,1,0.96,0.52,0.79-1.21,0.34-0.66,0.07,0.03
5,Mario Lemina,D M,12,977,1,3,1.01,0.64,1.01+0.01,0.86-2.14,0.09,0.08
6,Pablo Sarabia,M,5,172,1,0,2.09,1.57,0.94-0.06,0.25+0.25,0.49,0.13
7,Gonçalo Guedes,S,9,101,1,1,2.67,2.67,0.43-0.57,0.44-0.56,0.38,0.39
8,Jean-Ricner Bellegarde,M,11,584,1,1,0.92,0.92,0.27-0.73,0.34-0.66,0.04,0.05
9,Craig Dawson,D,10,738,0,0,0.49,0.24,0.38+0.38,0.07+0.07,0.05,0.01
10,Sam Johnstone,GK,5,450,0,0,0.00,0.20,0.00,0.05+0.05,0.00,0.01
11,Nélson Semedo,D,10,876,0,2,0.51,0.82,0.52+0.52,0.94-1.06,0.05,0.10
12,Matt Doherty,D,6,206,0,0,0.87,0.44,0.09+0.09,0.09+0.09,0.04,0.04
13,Daniel Podence,S,2,36,0,0,2.50,0.00,0.04+0.04,0.00,0.11,0.00
14,Tommy Doyle,M,9,247,0,1,1.46,1.09,0.13+0.13,0.15-0.85,0.05,0.05
15,Hee-Chan Hwang,M,7,251,0,0,0.00,0.72,0.00,0.27+0.27,0.00,0.10
16,José Sá,GK,7,630,0,0,0.00,0.14,0.00,0.02+0.02,0.00,0.00
17,Yerson Mosquera,D,5,448,0,0,0.40,0.40,0.47+0.47,0.09+0.09,0.09,0.02
18,Toti,D,10,833,0,1,0.11,0.22,0.01+0.01,0.63-0.37,0.00,0.07
19,Chiquinho,S,1,5,0,0,0.00,18.00,0.00,0.02+0.02,0.00,0.29
20,Santiago Bueno,D,6,443,0,0,0.20,0.00,0.09+0.09,0.00,0.02,0.00
21,Rodrigo Gomes,D M,6,194,0,0,0.93,0.93,0.05+0.05,0.10+0.10,0.02,0.05
22,André,M,8,461,0,0,0.39,0.59,0.05+0.05,0.12+0.12,0.01,0.02
23,Carlos Forbs,M,5,168,0,0,0.54,0.54,0.11+0.11,0.04+0.04,0.06,0.02
24,Alfie Pond,S,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,20,17,10.32,7.74,13.33-6.67,11.10-5.90,1.11,0.92
