team,winning_time,losing_time,draw_time
Crystal_Palace,172,381,597
Manchester_United,210,187,757
Southampton,160,483,522
West_Ham,103,424,530
Aston_Villa,243,268,656
Nottingham_Forest,332,175,659
Newcastle_United,175,339,552
Fulham,371,206,580
Manchester_City,505,284,364
Liverpool,521,120,509
Arsenal,378,118,663
Bournemouth,219,396,537
Everton,244,246,650
Ipswich,127,441,586
Wolverhampton_Wanderers,260,377,535
Brentford,392,262,494
Tottenham,443,212,502
Leicester,151,548,464
Chelsea,415,154,594
Brighton,420,221,517
