team,normal_shots,normal_goals,normal_xg,standard_shots,standard_goals,standard_xg,slow_shots,slow_goals,slow_xg,fast_shots,fast_goals,fast_xg,favorite_tactics,winning_time,losing_time,draw_time,form,squad_size,points_last_5,points_last_10,goals,shots pg,discipline,possession,pass%,aerialswon,rating,Market_Value
arsenal,138.0,9.0,12.423193993978202,48.0,8.0,6.21294120233506,27.0,0.0,1.4201840348541737,10.0,2.0,1.469960980117321,4-3-3,786.0,181.0,1047.0,7.0,15.0,71.8,71.3,41.0,13.8,443.0,55.3,86.4,13.7,6.79,€1.15bn
aston_villa,147.0,21.0,18.68529083300382,56.0,6.0,6.75526731275022,24.0,0.0,2.1484779538586736,18.0,5.0,3.98680064175278,4-2-3-1,577.0,465.0,985.0,10.0,14.0,52.8,45.57142857142857,31.0,12.8,432.0,50.5,85.7,9.5,6.57,€614.95m
bournemouth,184.0,16.0,19.542143510188907,77.0,6.0,8.999468923546374,10.0,2.0,0.9785475013777614,15.0,1.0,1.6129705850034952,4-2-3-1,500.0,533.0,987.0,6.0,14.0,40.333333333333336,42.57142857142857,32.0,16.2,510.0,45.9,79.1,14.9,6.72,€371.55m
brentford,242.0,25.0,23.68942089285701,75.0,3.0,7.114641898311675,39.0,4.0,5.160814031492919,21.0,5.0,2.843194806948304,4-3-3,597.0,509.0,897.0,2.0,14.0,48.0,48.0,40.0,11.0,311.0,47.7,81.4,16.8,6.71,€418.33m
brighton,142.0,14.0,17.392008191905916,58.0,8.0,9.4158259681426,21.0,2.0,1.4672835879027843,20.0,5.0,5.6026164926588535,4-2-3-1,516.0,435.0,978.0,4.0,14.0,48.6,45.57142857142857,30.0,14.7,411.0,52.4,85.5,13.3,6.61,€618.50m
chelsea,138.0,14.0,18.145159394480288,64.0,9.0,10.416261314414442,11.0,1.0,1.0294627211987972,17.0,2.0,3.2310938723385334,4-2-3-1,827.0,336.0,865.0,6.0,14.0,62.8,68.6,41.0,16.2,601.0,58.2,86.8,10.0,6.73,€1.04bn
crystal_palace,169.0,18.0,21.04703687177971,74.0,5.0,10.423866804689167,17.0,0.0,1.6260664639994502,20.0,5.0,5.16362476721406,3-4-2-1,380.0,582.0,1037.0,5.0,15.0,45.8,45.3,23.0,13.9,451.0,43.3,77.9,14.5,6.63,€413.75m
everton,152.0,16.0,20.73665356030688,74.0,4.0,8.606945271603763,20.0,3.0,2.1475991318002343,17.0,3.0,3.8128466308116913,4-2-3-1,323.0,449.0,1119.0,5.0,14.0,44.6,48.1,15.0,11.3,421.0,40.0,78.3,14.5,6.63,€343.60m
fulham,144.0,21.0,15.340060089714823,68.0,5.0,7.948086613789201,13.0,3.0,2.8160105934366584,13.0,1.0,1.5294169262051582,4-2-3-1,557.0,402.0,1061.0,6.0,16.0,42.333333333333336,38.25,32.0,13.9,502.0,52.6,84.5,13.0,6.63,€347.80m
ipswich,190.0,23.0,32.00024042185396,70.0,7.0,9.7519438136369,29.0,2.0,2.3337172949686646,21.0,3.0,5.328068183735013,4-2-3-1,383.0,666.0,869.0,7.0,16.0,,,20.0,9.6,532.0,40.2,80.0,15.3,6.45,€258.80m
leicester,208.0,28.0,26.53929584566504,93.0,8.0,12.491685532033443,39.0,4.0,5.582010233774781,21.0,6.0,5.743152465671301,4-2-3-1,285.0,974.0,765.0,6.0,17.0,53.5,53.22222222222222,23.0,9.3,480.0,45.9,82.3,13.6,6.5,€281.80m
liverpool,111.0,14.0,11.725237826816738,51.0,3.0,6.234988370910287,18.0,1.0,0.7150643598288298,12.0,2.0,1.881171385757625,4-2-3-1,786.0,290.0,838.0,5.0,15.0,81.8,77.9,,,,,,0.0,6.626842105263158,€967.00m
manchester_city,143.0,19.0,20.74434356205165,42.0,5.0,7.324200904928148,15.0,3.0,3.710852054879069,13.0,2.0,4.395049825310707,4-1-4-1,840.0,472.0,694.0,8.0,17.0,88.0,86.1,38.0,17.3,401.0,61.1,90.2,8.4,6.74,€1.21bn
manchester_united,125.0,13.0,18.118985804729164,69.0,13.0,11.882128573954104,17.0,0.0,1.7454417385160923,14.0,2.0,2.6919592171907425,4-2-3-1,271.0,533.0,1114.0,4.0,16.0,66.6,68.5,23.0,13.3,472.0,53.6,84.8,11.6,6.61,€794.65m
newcastle_united,168.0,11.0,19.593898629769683,60.0,4.0,4.820028393529356,28.0,3.0,3.668034840375185,16.0,4.0,3.6765831783413887,4-3-3,676.0,477.0,872.0,6.0,13.0,53.8,48.22222222222222,37.0,14.2,431.0,51.4,83.8,12.7,6.76,€640.25m
nottingham_forest,178.0,15.0,17.729157612659037,69.0,4.0,6.31504990067333,26.0,0.0,1.9031260153278708,9.0,1.0,2.0086514316499238,4-2-3-1,776.0,290.0,959.0,4.0,13.0,35.0,35.0,30.0,12.6,472.0,39.0,78.2,14.8,6.72,€442.18m
southampton,210.0,25.0,31.995674338191748,96.0,13.0,14.041884617879989,41.0,5.0,4.728470090776682,21.0,1.0,4.381896328181028,5-4-1,175.0,886.0,875.0,4.0,14.0,40.0,44.888888888888886,12.0,9.4,583.0,52.4,87.2,10.7,6.32,€307.20m
tottenham,155.0,21.0,24.46154790278524,73.0,7.0,8.639306549914181,23.0,2.0,2.908820982091129,13.0,2.0,3.018230192363262,4-3-3,639.0,560.0,832.0,7.0,16.0,63.6,68.6,43.0,14.6,411.0,57.3,85.6,10.8,6.71,€795.80m
west_ham,214.0,22.0,27.723722690716382,75.0,9.0,8.23025184031576,38.0,5.0,5.528699525631964,27.0,5.0,5.48984494805336,4-2-3-1,326.0,738.0,960.0,7.0,17.0,50.4,50.0,27.0,14.1,482.0,46.5,81.5,15.5,6.55,€439.30m
wolverhampton_wanderers,164.0,23.0,21.75397921912372,92.0,20.0,13.265653729438782,23.0,1.0,1.2820147359743714,18.0,4.0,4.69164308346808,3-4-2-1,365.0,809.0,869.0,7.0,16.0,48.4,49.833333333333336,31.0,10.9,471.0,47.2,81.2,11.8,6.53,€388.30m
