team,normal_shots,normal_goals,normal_xg,standard_shots,standard_goals,standard_xg,slow_shots,slow_goals,slow_xg,fast_shots,fast_goals,fast_xg,favorite_tactics,winning_time,losing_time,draw_time,form,squad_size,points_last_5,points_last_10,goals,shots pg,discipline,possession,pass%,aerialswon,rating
arsenal,132.0,9.0,12.058140470646322,45.0,7.0,5.831940070725977,26.0,0.0,1.3891673162579536,10.0,2.0,1.469960980117321,4-3-3,736.0,177.0,1006.0,5.0,15.0,71.8,71.3,39.0,13.8,413.0,55.4,86.5,13.7,6.79
aston_villa,142.0,21.0,18.157883849926293,52.0,6.0,6.13872455060482,23.0,0.0,2.061166201718152,18.0,5.0,3.98680064175278,4-2-3-1,533.0,465.0,934.0,13.0,15.0,52.8,45.57142857142857,30.0,12.9,422.0,50.5,85.8,9.0,6.54
bournemouth,169.0,16.0,18.54729023715481,69.0,5.0,7.690742328763008,9.0,2.0,0.9230769788846374,13.0,0.0,1.1561604384332895,4-2-3-1,470.0,497.0,954.0,6.0,13.0,40.333333333333336,42.57142857142857,30.0,16.7,480.0,46.0,79.1,15.1,6.71
brentford,229.0,23.0,22.02484659012407,72.0,3.0,6.698043161071837,37.0,4.0,4.785755581688136,18.0,5.0,2.629624241963029,4-3-3,597.0,485.0,826.0,4.0,14.0,48.0,48.0,38.0,10.7,311.0,47.8,81.4,16.9,6.71
brighton,142.0,14.0,17.392008191905916,58.0,8.0,9.4158259681426,21.0,2.0,1.4672835879027843,20.0,5.0,5.6026164926588535,4-2-3-1,516.0,435.0,978.0,4.0,14.0,48.6,45.57142857142857,30.0,14.7,411.0,52.4,85.5,13.3,6.61
chelsea,134.0,13.0,17.851910083554685,61.0,8.0,9.561060170643032,11.0,1.0,1.0294627211987972,17.0,2.0,3.2310938723385334,4-2-3-1,785.0,297.0,847.0,8.0,13.0,62.8,68.6,39.0,15.8,581.0,58.3,87.0,9.8,6.74
crystal_palace,151.0,18.0,19.34406949719414,71.0,5.0,10.02679930627346,17.0,0.0,1.6260664639994502,20.0,5.0,5.16362476721406,3-4-2-1,346.0,582.0,977.0,5.0,15.0,45.8,45.3,21.0,14.1,451.0,43.4,77.9,14.5,6.61
everton,147.0,16.0,20.17366007110104,73.0,4.0,8.536455052904785,18.0,3.0,2.0680495323613286,14.0,2.0,3.21939018368721,4-2-3-1,323.0,405.0,1068.0,6.0,14.0,44.6,48.1,15.0,11.4,401.0,39.5,78.2,14.4,6.65
fulham,142.0,20.0,15.227169674821198,68.0,5.0,7.948086613789201,11.0,1.0,1.9915788462385533,13.0,1.0,1.5294169262051582,4-2-3-1,551.0,338.0,1035.0,4.0,15.0,42.333333333333336,38.25,30.0,13.6,472.0,52.5,84.5,12.9,6.64
ipswich,190.0,23.0,32.00024042185396,70.0,7.0,9.7519438136369,29.0,2.0,2.3337172949686646,21.0,3.0,5.328068183735013,4-2-3-1,383.0,666.0,869.0,7.0,16.0,,,20.0,9.6,532.0,40.2,80.0,15.3,6.45
