Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Liverpool,48,17,421,57.5,86.3,11.3,6.88
2. Arsenal,41,13.8,443,55.3,86.4,13.7,6.79
3. Newcastle,37,14.2,431,51.4,83.8,12.7,6.76
4. Manchester City,38,17.3,401,61.1,90.2,8.4,6.74
5. Chelsea,41,16.2,601,58.2,86.8,10,6.73
6. Nottingham Forest,30,12.6,472,39.0,78.2,14.8,6.72
7. Bournemouth,32,16.2,510,45.9,79.1,14.9,6.72
8. Tottenham,43,14.6,411,57.3,85.6,10.8,6.71
9. Brentford,40,11,311,47.7,81.4,16.8,6.71
10. Everton,15,11.3,421,40.0,78.3,14.5,6.63
11. Crystal Palace,23,13.9,451,43.3,77.9,14.5,6.63
12. Fulham,32,13.9,502,52.6,84.5,13,6.63
13. Manchester United,23,13.3,472,53.6,84.8,11.6,6.61
14. Brighton,30,14.7,411,52.4,85.5,13.3,6.61
15. Aston Villa,31,12.8,432,50.5,85.7,9.5,6.57
16. West Ham,27,14.1,482,46.5,81.5,15.5,6.55
17. Wolves,31,10.9,471,47.2,81.2,11.8,6.53
18. Leicester,23,9.3,480,45.9,82.3,13.6,6.50
19. Ipswich,20,9.6,532,40.2,80.0,15.3,6.45
20. Southampton,12,9.4,583,52.4,87.2,10.7,6.32
